,title,director,duration,rating,genre,type,cleaned_title,disney+,netflix,hbo
0,Toy Story,John Lasseter,1:21,8.3,"['Animation', 'Adventure', 'Comedy']",movie,toy story,Yes,No,No
1,Amadeus,Milos Forman,2:40,8.3,"['Biography', 'Drama', 'Music']",movie,amadeus,No,No,No
2,American Beauty,Sam Mendes,2:2,8.3,['Drama'],movie,american beauty,No,No,No
3,Braveheart,Mel Gibson,2:58,8.3,"['Biography', 'Drama', 'History']",movie,braveheart,No,No,No
4,Inglourious Basterds,Quentin Tarantino,2:33,8.3,"['Adventure', 'Drama', 'War']",movie,inglourious basterds,No,Yes,No
5,Good Will Hunting,Gus Van Sant,2:6,8.3,"['Drama', 'Romance']",movie,good will hunting,No,No,No
6,Hamilton,Thomas Kail,2:40,8.4,"['Biography', 'Drama', 'History']",movie,hamilton,Yes,No,No
7,Idi i smotri,Elem Klimov,2:22,8.3,"['Drama', 'Thriller', 'War']",movie,idi i smotri,No,No,No
8,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,2:11,8.3,"['Action', 'Adventure', 'Fantasy']",movie,star wars episode vi - return of the jedi,No,No,No
9,2001: Een zwerftocht in de ruimte,Stanley Kubrick,2:29,8.3,"['Adventure', 'Sci-Fi']",movie,2001 een zwerftocht in de ruimte,No,No,No
10,Reservoir Dogs,Quentin Tarantino,1:39,8.3,"['Crime', 'Drama', 'Thriller']",movie,reservoir dogs,No,No,No
11,Taare Zameen Par,Aamir Khan,2:45,8.4,"['Drama', 'Family']",movie,taare zameen par,No,No,No
12,Vertigo,Alfred Hitchcock,2:8,8.3,"['Mystery', 'Romance', 'Thriller']",movie,vertigo,No,No,No
13,M - Eine Stadt sucht einen Mörder,Fritz Lang,1:57,8.3,"['Crime', 'Mystery', 'Thriller']",movie,m - eine stadt sucht einen mörder,No,No,No
14,Jagten,Thomas Vinterberg,1:55,8.3,['Drama'],movie,jagten,No,No,No
15,Citizen Kane,Orson Welles,1:59,8.3,"['Drama', 'Mystery']",movie,citizen kane,No,No,No
16,Requiem for a Dream,Darren Aronofsky,1:42,8.3,['Drama'],movie,requiem for a dream,No,No,No
17,Singin' in the Rain,Stanley Donen,1:43,8.3,"['Comedy', 'Musical', 'Romance']",movie,singin in the rain,No,No,No
18,North by Northwest,Alfred Hitchcock,2:16,8.3,"['Adventure', 'Mystery', 'Thriller']",movie,north by northwest,No,No,No
19,Ikiru,Akira Kurosawa,2:23,8.3,['Drama'],movie,ikiru,No,No,No
20,Eternal Sunshine of the Spotless Mind,Michel Gondry,1:48,8.3,"['Drama', 'Romance', 'Sci-Fi']",movie,eternal sunshine of the spotless mind,No,Yes,No
21,Ladri di biciclette,Vittorio De Sica,1:29,8.3,['Drama'],movie,ladri di biciclette,No,No,No
22,Lawrence of Arabia,David Lean,3:48,8.3,"['Adventure', 'Biography', 'Drama']",movie,lawrence of arabia,No,No,No
23,The Kid,Charles Chaplin,1:8,8.3,"['Comedy', 'Drama', 'Family']",movie,the kid,Yes,No,No
24,Full Metal Jacket,Stanley Kubrick,1:56,8.3,"['Drama', 'War']",movie,full metal jacket,No,No,Yes
25,Incendies,Denis Villeneuve,2:11,8.3,"['Drama', 'Mystery', 'War']",movie,incendies,No,No,No
26,Dangal,Nitesh Tiwari,2:41,8.4,"['Action', 'Biography', 'Drama']",movie,dangal,No,No,No
27,Het appartement,Billy Wilder,2:5,8.3,"['Comedy', 'Drama', 'Romance']",movie,het appartement,No,No,No
28,Double Indemnity,Billy Wilder,1:47,8.3,"['Crime', 'Drama', 'Film-Noir']",movie,double indemnity,No,No,No
29,Metropolis,Fritz Lang,2:33,8.3,"['Drama', 'Sci-Fi']",movie,metropolis,No,No,No
30,A Clockwork Orange,Stanley Kubrick,2:16,8.3,"['Crime', 'Sci-Fi']",movie,a clockwork orange,No,No,No
31,Taxi Driver,Martin Scorsese,1:54,8.2,"['Crime', 'Drama']",movie,taxi driver,No,No,No
32,The Father,Florian Zeller,1:37,8.3,"['Drama', 'Mystery']",movie,the father,No,No,No
