,title,director,duration,rating,genre,type
0,Toy Story,John Lasseter,1:21,8.3,"['Animation', 'Adventure', 'Comedy']",movie
1,Amadeus,Milos Forman,2:40,8.3,"['Biography', 'Drama', 'Music']",movie
2,American Beauty,Sam Mendes,2:2,8.3,['Drama'],movie
3,Braveheart,Mel Gibson,2:58,8.3,"['Biography', 'Drama', 'History']",movie
4,Inglourious Basterds,Quentin Tarantino,2:33,8.3,"['Adventure', 'Drama', 'War']",movie
5,Good Will Hunting,Gus Van Sant,2:6,8.3,"['Drama', 'Romance']",movie
6,Hamilton,Thomas Kail,2:40,8.4,"['Biography', 'Drama', 'History']",movie
7,Idi i smotri,Elem Klimov,2:22,8.3,"['Drama', 'Thriller', 'War']",movie
8,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,2:11,8.3,"['Action', 'Adventure', 'Fantasy']",movie
9,2001: Een zwerftocht in de ruimte,Stanley Kubrick,2:29,8.3,"['Adventure', 'Sci-Fi']",movie
10,Reservoir Dogs,Quentin Tarantino,1:39,8.3,"['Crime', 'Drama', 'Thriller']",movie
11,Taare Zameen Par,Aamir Khan,2:45,8.4,"['Drama', 'Family']",movie
12,Vertigo,Alfred Hitchcock,2:8,8.3,"['Mystery', 'Romance', 'Thriller']",movie
13,M - Eine Stadt sucht einen Mörder,Fritz Lang,1:57,8.3,"['Crime', 'Mystery', 'Thriller']",movie
14,Jagten,Thomas Vinterberg,1:55,8.3,['Drama'],movie
15,Citizen Kane,Orson Welles,1:59,8.3,"['Drama', 'Mystery']",movie
16,Requiem for a Dream,Darren Aronofsky,1:42,8.3,['Drama'],movie
17,Singin' in the Rain,Stanley Donen,1:43,8.3,"['Comedy', 'Musical', 'Romance']",movie
18,North by Northwest,Alfred Hitchcock,2:16,8.3,"['Adventure', 'Mystery', 'Thriller']",movie
19,Ikiru,Akira Kurosawa,2:23,8.3,['Drama'],movie
20,Eternal Sunshine of the Spotless Mind,Michel Gondry,1:48,8.3,"['Drama', 'Romance', 'Sci-Fi']",movie
21,Ladri di biciclette,Vittorio De Sica,1:29,8.3,['Drama'],movie
22,Lawrence of Arabia,David Lean,3:48,8.3,"['Adventure', 'Biography', 'Drama']",movie
23,The Kid,Charles Chaplin,1:8,8.3,"['Comedy', 'Drama', 'Family']",movie
24,Full Metal Jacket,Stanley Kubrick,1:56,8.3,"['Drama', 'War']",movie
25,Incendies,Denis Villeneuve,2:11,8.3,"['Drama', 'Mystery', 'War']",movie
26,Dangal,Nitesh Tiwari,2:41,8.4,"['Action', 'Biography', 'Drama']",movie
27,Het appartement,Billy Wilder,2:5,8.3,"['Comedy', 'Drama', 'Romance']",movie
28,Double Indemnity,Billy Wilder,1:47,8.3,"['Crime', 'Drama', 'Film-Noir']",movie
29,Metropolis,Fritz Lang,2:33,8.3,"['Drama', 'Sci-Fi']",movie
30,A Clockwork Orange,Stanley Kubrick,2:16,8.3,"['Crime', 'Sci-Fi']",movie
31,Taxi Driver,Martin Scorsese,1:54,8.2,"['Crime', 'Drama']",movie
32,The Father,Florian Zeller,1:37,8.3,"['Drama', 'Mystery']",movie
33,The Sting,George Roy Hill,2:9,8.3,"['Comedy', 'Crime', 'Drama']",movie
34,A Separation,Asghar Farhadi,2:3,8.3,['Drama'],movie
35,Scarface,Brian De Palma,2:50,8.3,"['Crime', 'Drama']",movie
