,title,director,duration,genre
0,The Shawshank Redemption,Frank Darabont,2:22,['Drama']
1,The Godfather,Francis Ford Coppola,2:55,"['Crime', 'Drama']"
2,The Godfather: Part II,Francis Ford Coppola,3:22,"['Crime', 'Drama']"
3,The Dark Knight,Christopher Nolan,2:32,"['Action', 'Crime', 'Drama']"
4,De 12 gezworenen,Sidney Lumet,1:36,"['Crime', 'Drama']"
5,Schindler's List,Steven Spielberg,3:15,"['Biography', 'Drama', 'History']"
6,The Lord of the Rings: The Return of the King,Peter Jackson,3:21,"['Action', 'Adventure', 'Drama']"
7,Pulp Fiction,Quentin Tarantino,2:34,"['Crime', 'Drama']"
8,"The Good, the Bad and the Ugly",Sergio Leone,2:41,"['Adventure', 'Western']"
9,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2:58,"['Action', 'Adventure', 'Drama']"
10,Fight Club,David Fincher,2:19,['Drama']
11,Forrest Gump,Robert Zemeckis,2:22,"['Drama', 'Romance']"
12,Inception,Christopher Nolan,2:28,"['Action', 'Adventure', 'Sci-Fi']"
13,The Lord of the Rings: The Two Towers,Peter Jackson,2:59,"['Action', 'Adventure', 'Drama']"
14,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,2:4,"['Action', 'Adventure', 'Fantasy']"
15,The Matrix,Lana Wachowski,2:16,"['Action', 'Sci-Fi']"
16,Goodfellas,Martin Scorsese,2:26,"['Biography', 'Crime', 'Drama']"
17,One Flew Over the Cuckoo's Nest,Milos Forman,2:13,['Drama']
18,Shichinin no samurai,Akira Kurosawa,3:27,"['Action', 'Drama']"
19,Seven,David Fincher,2:7,"['Crime', 'Drama', 'Mystery']"
20,The Silence of the Lambs,Jonathan Demme,1:58,"['Crime', 'Drama', 'Thriller']"
21,Cidade de Deus,Fernando Meirelles,2:10,"['Crime', 'Drama']"
22,Het leven is mooi,Roberto Benigni,1:56,"['Comedy', 'Drama', 'Romance']"
23,It's a Wonderful Life,Frank Capra,2:10,"['Comedy', 'Drama', 'Family']"
24,Spider-Man: No Way Home,Jon Watts,2:28,"['Action', 'Adventure', 'Fantasy']"
25,Saving Private Ryan,Steven Spielberg,2:49,"['Drama', 'War']"
26,Star Wars: Episode IV - A New Hope,George Lucas,2:1,"['Action', 'Adventure', 'Fantasy']"
27,Interstellar,Christopher Nolan,2:49,"['Adventure', 'Drama', 'Sci-Fi']"
28,Spirited Away,Hayao Miyazaki,2:5,"['Animation', 'Adventure', 'Family']"
29,The Green Mile,Frank Darabont,3:9,"['Crime', 'Drama', 'Fantasy']"
30,Gisaengchung,Bong Joon Ho,2:12,"['Comedy', 'Drama', 'Thriller']"
31,Léon,Luc Besson,1:50,"['Action', 'Crime', 'Drama']"
32,Seppuku,Masaki Kobayashi,2:13,"['Action', 'Drama', 'Mystery']"
33,The Pianist,Roman Polanski,2:30,"['Biography', 'Drama', 'Music']"
34,Terminator 2: Judgment Day,James Cameron,2:17,"['Action', 'Sci-Fi']"
35,Terug naar de toekomst,Robert Zemeckis,1:56,"['Adventure', 'Comedy', 'Sci-Fi']"
36,The Usual Suspects,Bryan Singer,1:46,"['Crime', 'Drama', 'Mystery']"
37,Psycho,Alfred Hitchcock,1:49,"['Horror', 'Mystery', 'Thriller']"
38,The Lion King,Roger Allers,1:28,"['Animation', 'Adventure', 'Drama']"
39,Modern Times,Charles Chaplin,1:27,"['Comedy', 'Drama', 'Family']"
40,Hotaru no haka,Isao Takahata,1:29,"['Animation', 'Drama', 'War']"
41,American History X,Tony Kaye,1:59,['Drama']
42,Whiplash,Damien Chazelle,1:46,"['Drama', 'Music']"
43,Gladiator,Ridley Scott,2:35,"['Action', 'Adventure', 'Drama']"
44,The Departed,Martin Scorsese,2:31,"['Crime', 'Drama', 'Thriller']"
45,City Lights,Charles Chaplin,1:27,"['Comedy', 'Drama', 'Romance']"
46,Intouchables,Olivier Nakache,1:52,"['Biography', 'Comedy', 'Drama']"
47,The Prestige,Christopher Nolan,2:10,"['Drama', 'Mystery', 'Thriller']"
48,Casablanca,Michael Curtiz,1:42,"['Drama', 'Romance', 'War']"
49,C'era una volta il West,Sergio Leone,2:45,['Western']
50,Rear Window,Alfred Hitchcock,1:52,"['Mystery', 'Thriller']"
51,Nuovo Cinema Paradiso,Giuseppe Tornatore,2:35,"['Drama', 'Romance']"
52,Alien,Ridley Scott,1:57,"['Horror', 'Sci-Fi']"
53,Apocalypse Now,Francis Ford Coppola,2:27,"['Drama', 'Mystery', 'War']"
54,Memento,Christopher Nolan,1:53,"['Mystery', 'Thriller']"
55,Indiana Jones and the Raiders of the Lost Ark,Steven Spielberg,1:55,"['Action', 'Adventure']"
56,De dictator,Charles Chaplin,2:5,"['Comedy', 'Drama', 'War']"
57,Django Unchained,Quentin Tarantino,2:45,"['Drama', 'Western']"
58,Das Leben der Anderen,Florian Henckel von Donnersmarck,2:17,"['Drama', 'Mystery', 'Thriller']"
59,Het veld van eer,Stanley Kubrick,1:28,"['Drama', 'War']"
60,Sunset Boulevard,Billy Wilder,1:50,"['Drama', 'Film-Noir']"
61,WALL·E,Andrew Stanton,1:38,"['Animation', 'Adventure', 'Family']"
62,Avengers: Infinity War,Anthony Russo,2:29,"['Action', 'Adventure', 'Sci-Fi']"
63,Witness for the Prosecution,Billy Wilder,1:56,"['Crime', 'Drama', 'Mystery']"
64,Spider-Man: Een nieuw universum,Bob Persichetti,1:57,"['Animation', 'Action', 'Adventure']"
65,The Shining,Stanley Kubrick,2:26,"['Drama', 'Horror']"
66,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,1:35,"['Comedy', 'War']"
67,Mononoke-hime,Hayao Miyazaki,2:14,"['Animation', 'Action', 'Adventure']"
68,Oldeuboi,Park Chan-wook,2,"['Action', 'Drama', 'Mystery']"
69,Joker,Todd Phillips,2:2,"['Crime', 'Drama', 'Thriller']"
70,Kimi no na wa.,Makoto Shinkai,1:46,"['Animation', 'Drama', 'Fantasy']"
71,Coco,Lee Unkrich,1:45,"['Animation', 'Adventure', 'Comedy']"
72,The Dark Knight Rises,Christopher Nolan,2:44,"['Action', 'Crime', 'Drama']"
73,Aliens,James Cameron,2:17,"['Action', 'Adventure', 'Sci-Fi']"
74,Once Upon a Time in America,Sergio Leone,3:49,"['Crime', 'Drama']"
75,Avengers: Endgame,Anthony Russo,3:1,"['Action', 'Adventure', 'Drama']"
76,Capharnaüm,Nadine Labaki,2:6,['Drama']
77,Das Boot,Wolfgang Petersen,2:29,"['Drama', 'War']"
78,Tengoku to jigoku,Akira Kurosawa,2:23,"['Crime', 'Drama', 'Mystery']"
79,Toy Story,John Lasseter,1:21,"['Animation', 'Adventure', 'Comedy']"
80,Amadeus,Milos Forman,2:40,"['Biography', 'Drama', 'Music']"
81,American Beauty,Sam Mendes,2:2,['Drama']
82,Braveheart,Mel Gibson,2:58,"['Biography', 'Drama', 'History']"
83,Inglourious Basterds,Quentin Tarantino,2:33,"['Adventure', 'Drama', 'War']"
84,Good Will Hunting,Gus Van Sant,2:6,"['Drama', 'Romance']"
85,Hamilton,Thomas Kail,2:40,"['Biography', 'Drama', 'History']"
86,Idi i smotri,Elem Klimov,2:22,"['Drama', 'Thriller', 'War']"
87,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,2:11,"['Action', 'Adventure', 'Fantasy']"
88,2001: Een zwerftocht in de ruimte,Stanley Kubrick,2:29,"['Adventure', 'Sci-Fi']"
89,Reservoir Dogs,Quentin Tarantino,1:39,"['Crime', 'Drama', 'Thriller']"
