,title,director,duration,rating,genre
0,Planet Earth II,-,4:58,9.5,['Documentary']
1,Planet Earth,-,8:58,9.4,['Documentary']
2,Breaking Bad,-,49,9.4,"['Crime', 'Drama', 'Thriller']"
3,Band of Brothers,-,9:54,9.4,"['Drama', 'History', 'War']"
4,Chernobyl,-,5:30,9.4,"['Drama', 'History', 'Thriller']"
5,The Wire,-,59,9.3,"['Crime', 'Drama', 'Thriller']"
6,Blue Planet II,-,6:4,9.3,['Documentary']
7,Cosmos: A Spacetime Odyssey,-,9:17,9.3,['Documentary']
8,Our Planet,-,6:43,9.3,['Documentary']
9,Avatar: The Last Airbender,-,23,9.3,"['Animation', 'Action', 'Adventure']"
10,Cosmos,-,13,9.3,['Documentary']
11,The Sopranos,-,55,9.2,"['Crime', 'Drama']"
12,Game of Thrones,-,57,9.2,"['Action', 'Adventure', 'Drama']"
13,Rick and Morty,-,23,9.2,"['Animation', 'Adventure', 'Comedy']"
14,The World at War,-,52,9.2,"['Documentary', 'History', 'War']"
15,The Last Dance,-,8:11,9.1,"['Documentary', 'Biography', 'History']"
16,Life,-,7:53,9.1,['Documentary']
17,Hagane no renkinjutsushi,-,24,9.1,"['Animation', 'Action', 'Adventure']"
18,Sherlock,-,1:28,9.1,"['Crime', 'Drama', 'Mystery']"
19,Arcane,-,41,9.1,"['Animation', 'Action', 'Adventure']"
20,The Vietnam War,-,16:30,9.1,"['Documentary', 'History', 'War']"
21,Scam 1992: The Harshad Mehta Story,-,54,9.5,"['Biography', 'Crime', 'Drama']"
22,The Beatles: Get Back,-,7:48,9.1,"['Documentary', 'Music']"
23,The Twilight Zone,-,51,9.0,"['Drama', 'Fantasy', 'Horror']"
24,The Blue Planet,-,6:29,9.0,['Documentary']
25,Batman: The Animated Series,-,23,9.0,"['Animation', 'Action', 'Adventure']"
26,Human Planet,-,50,9.0,['Documentary']
27,Firefly,-,44,9.0,"['Adventure', 'Drama', 'Sci-Fi']"
28,Frozen Planet,-,5:33,9.0,['Documentary']
29,Sahsiyet,-,1:5,9.1,"['Crime', 'Drama', 'Mystery']"
30,Clarkson's Farm,-,45,9.1,"['Documentary', 'Reality-TV']"
31,Death Note: Desu nôto,-,24,9.0,"['Animation', 'Crime', 'Drama']"
32,Dekalog,-,9:32,9.0,['Drama']
33,True Detective,-,55,8.9,"['Crime', 'Drama', 'Mystery']"
34,Attack on Titan,-,24,9.0,"['Animation', 'Action', 'Adventure']"
35,Kaubôi bibappu,-,24,8.9,"['Animation', 'Action', 'Adventure']"
36,The Civil War,-,11:20,9.0,"['Documentary', 'History', 'War']"
37,Hunter x Hunter,-,24,9.0,"['Animation', 'Action', 'Adventure']"
38,Fargo,-,53,8.9,"['Crime', 'Drama', 'Thriller']"
39,The Office,-,22,8.9,['Comedy']
40,When They See Us,-,4:56,8.9,"['Biography', 'Crime', 'Drama']"
41,Africa,-,6,8.9,['Documentary']
42,Apocalypse: La 2ème guerre mondiale,-,5:12,9.0,"['Documentary', 'History', 'War']"
43,Only Fools and Horses....,-,1:35,8.9,['Comedy']
44,TVF Pitchers,-,40,9.1,"['Comedy', 'Drama']"
45,Last Week Tonight with John Oliver,-,30,8.8,"['Comedy', 'History', 'News']"
46,Gravity Falls,-,23,8.9,"['Animation', 'Action', 'Adventure']"
47,Seinfeld,-,22,8.8,['Comedy']
48,Das Boot,-,4:53,8.8,"['Drama', 'War']"
49,Nathan for You,-,30,8.9,"['Documentary', 'Comedy']"
50,Monty Python's Flying Circus,-,30,8.8,['Comedy']
51,1883,-,1,9.1,"['Drama', 'Western']"
52,Friends,-,22,8.8,"['Comedy', 'Romance']"
53,Pride and Prejudice,-,5:27,8.8,"['Drama', 'Romance']"
54,Black Mirror,-,1,8.8,"['Drama', 'Sci-Fi', 'Thriller']"
55,Twin Peaks,-,47,8.8,"['Crime', 'Drama', 'Mystery']"
56,Achter de Tuinmuur,-,22,8.8,"['Animation', 'Adventure', 'Comedy']"
57,Kota Factory,-,45,9.2,"['Comedy', 'Drama']"
58,Succession,-,1,8.8,['Drama']
59,Fawlty Towers,-,30,8.7,['Comedy']
60,It's Always Sunny in Philadelphia,-,22,8.8,['Comedy']
61,Blackadder Goes Forth,-,2:55,8.8,"['Comedy', 'War']"
62,Narcos,-,49,8.8,"['Biography', 'Crime', 'Drama']"
63,Better Call Saul,-,46,8.8,"['Crime', 'Drama']"
64,Ted Lasso,-,30,8.8,"['Comedy', 'Drama', 'Sport']"
65,Freaks and Geeks,-,44,8.7,"['Comedy', 'Drama']"
66,Chappelle's Show,-,22,8.7,"['Comedy', 'Music']"
67,The West Wing,-,44,8.8,['Drama']
68,Peaky Blinders,-,1,8.8,"['Crime', 'Drama']"
69,The Mandalorian,-,40,8.8,"['Action', 'Adventure', 'Fantasy']"
70,Steins;Gate,-,24,8.8,"['Animation', 'Comedy', 'Drama']"
71,Dark,-,1,8.8,"['Crime', 'Drama', 'Mystery']"
72,BoJack Horseman,-,25,8.7,"['Animation', 'Comedy', 'Drama']"
73,One Punch Man,-,24,8.8,"['Animation', 'Action', 'Comedy']"
74,Curb Your Enthusiasm,-,28,8.7,['Comedy']
75,Dragon Ball Z: Doragon bôru zetto,-,24,8.7,"['Animation', 'Action', 'Adventure']"
76,Vinland Saga,-,24,8.8,"['Animation', 'Action', 'Adventure']"
77,Rome,-,52,8.7,"['Action', 'Drama', 'History']"
78,Dragon Ball Z,-,24,8.7,"['Animation', 'Action', 'Adventure']"
79,"I, Claudius",-,11:9,8.8,"['Biography', 'Drama', 'History']"
80,Fleabag,-,27,8.7,"['Comedy', 'Drama']"
81,Oz,-,55,8.7,"['Crime', 'Drama', 'Thriller']"
82,Invincible,-,50,8.7,"['Animation', 'Action', 'Adventure']"
83,Leyla ile Mecnun,-,1:20,9.1,"['Adventure', 'Comedy', 'Drama']"
84,Arrested Development,-,22,8.7,['Comedy']
85,Six Feet Under,-,1,8.7,"['Comedy', 'Drama']"
86,South Park,-,22,8.7,"['Animation', 'Comedy']"
87,The Adventures of Sherlock Holmes,-,1,8.7,"['Crime', 'Drama', 'Mystery']"
88,Stranger Things,-,51,8.7,"['Drama', 'Fantasy', 'Horror']"
89,The Marvelous Mrs. Maisel,-,57,8.7,"['Comedy', 'Drama']"
90,The Boys,-,1,8.7,"['Action', 'Crime', 'Drama']"
91,The Thick of It,-,29,8.7,['Comedy']
92,Battlestar Galactica,-,44,8.7,"['Action', 'Adventure', 'Drama']"
93,Justice League Unlimited,-,23,8.7,"['Animation', 'Action', 'Adventure']"
94,House of Cards,-,51,8.7,['Drama']
95,House M.D.,-,44,8.7,"['Drama', 'Mystery']"
96,One Piece: Stampede,-,24,8.7,"['Animation', 'Action', 'Adventure']"
97,Kenpû Denki Berserk,-,23,8.7,"['Animation', 'Action', 'Adventure']"
98,The Shield,-,47,8.7,"['Crime', 'Drama', 'Thriller']"
99,The Simpsons,-,22,8.6,"['Animation', 'Comedy']"
0,Mahabharat,-,45,8.9,"['Adventure', 'Drama', 'History']"
1,The Crown,-,58,8.6,"['Biography', 'Drama', 'History']"
2,The Return of Sherlock Holmes,-,1,8.7,"['Crime', 'Drama', 'Mystery']"
3,The Jinx: The Life and Deaths of Robert Durst,-,4:39,8.6,"['Documentary', 'Crime', 'Mystery']"
4,Downton Abbey,-,58,8.7,"['Drama', 'Romance']"
5,Line of Duty,-,1,8.7,"['Crime', 'Drama', 'Mystery']"
6,The Grand Tour,-,1,8.7,"['Comedy', 'Talk-Show']"
7,Ramayan,-,30,9.0,"['Adventure', 'Drama', 'Family']"
8,It's a Sin,-,3:59,8.7,"['Comedy', 'Drama', 'History']"
9,Star Trek: The Next Generation,-,44,8.6,"['Action', 'Adventure', 'Sci-Fi']"
10,Deadwood,-,55,8.6,"['Crime', 'Drama', 'History']"
11,Top Gear,-,1,8.6,"['Adventure', 'Comedy', 'Reality-TV']"
12,Atlanta,-,30,8.6,"['Comedy', 'Drama', 'Music']"
13,Dopesick,-,8:12,8.7,['Drama']
14,Lonesome Dove,-,6:24,8.7,"['Adventure', 'Drama', 'Western']"
15,Young Justice,-,23,8.7,"['Animation', 'Action', 'Adventure']"
16,Haikyuu!!,-,24,8.7,"['Animation', 'Comedy', 'Drama']"
17,Sarabhai V/S Sarabhai,-,30,8.8,['Comedy']
18,Mad Men,-,47,8.6,['Drama']
19,Bron/Broen,-,1,8.6,"['Crime', 'Mystery', 'Thriller']"
20,Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,-,24,8.7,"['Animation', 'Action', 'Drama']"
21,Formula 1: Drive to Survive,-,40,8.6,"['Documentary', 'Sport']"
22,Blackadder II,-,2:56,8.6,['Comedy']
23,Monster,-,24,8.7,"['Animation', 'Crime', 'Drama']"
24,Peep Show,-,25,8.6,['Comedy']
25,The X Files,-,45,8.6,"['Crime', 'Drama', 'Mystery']"
26,Parks and Recreation,-,22,8.6,['Comedy']
0,Yellowstone,-,1,8.8,"['Drama', 'Western']"
1,Gomorra: La serie,-,55,8.7,"['Crime', 'Drama', 'Thriller']"
2,Friday Night Lights,-,44,8.6,"['Drama', 'Sport']"
3,Mindhunter,-,1,8.6,"['Crime', 'Drama', 'Thriller']"
4,Battlestar Galactica,-,3:3,8.6,"['Action', 'Adventure', 'Drama']"
5,Le Bureau des Légendes,-,52,8.7,"['Drama', 'Thriller']"
6,Father Ted,-,25,8.6,['Comedy']
7,Anne,-,1,8.7,"['Drama', 'Family']"
8,Jujutsu Kaisen,-,24,8.7,"['Animation', 'Action', 'Adventure']"
9,Dexter,-,53,8.6,"['Crime', 'Drama', 'Mystery']"
10,The Haunting of Hill House,-,9:32,8.6,"['Drama', 'Horror', 'Mystery']"
11,The Bugs Bunny Show,-,30,8.6,"['Animation', 'Comedy']"
12,Westworld,-,1:2,8.6,"['Drama', 'Mystery', 'Sci-Fi']"
13,Blackadder the Third,-,3,8.6,['Comedy']
14,Daredevil,-,54,8.6,"['Action', 'Crime', 'Drama']"
15,This Is Us,-,45,8.6,"['Comedy', 'Drama', 'Romance']"
16,Panchayat,-,35,8.8,"['Comedy', 'Drama']"
